,Z,name,isotopes,mass_number,mass,abundance,atomic_mass,symbol
0,,,,,"G. Audi, A. H. Wapstra Nucl. Phys A. 1993, 565, 1-65.",,,
1,,,,,"G. Audi, A. H. Wapstra Nucl. Phys A. 1995, 595, 409-480.",,,
2,,,,,,"K.J.R. Rosman, P.D.P. Taylor Pure Appl. Chem. 1999, 71, 1593-1607. (1997 report of the IUPAC Subcommittee for Isotopic Abundance Measurements)",,
3,,,,,,,Agilent (https://www.agilent.com/cs/library/flyers/public/5989-8540EN.pdf),
4,,,,,,,,
5,1,Hydrogen,1H,1,1.007825,99.9885,1.008,H
6,,Deuterium,2H,2,2.014102,0.115,1.008,H
7,2,Helium,3He,3,3.016029,0.000137,4.003,He
8,,,4He,4,4.002603,99.999863,4.003,He
9,3,Lithium,6Li,6,6.015122,7.59,6.941,Li
10,,,7Li,7,7.016004,92.41,6.941,Li
11,4,Beryllium,9Be,9,9.012182,100,9.012,Be
12,5,Boron,10B,10,10.012937,19.9,10.81,B
13,,,11B,11,11.009305,80.1,10.81,B
14,6,Carbon,12C,12,12,98.93,12.01,C
15,,,13C,13,13.003355,1.07,12.01,C
16,7,Nitrogen,14N,14,14.003074,99.632,14.01,N
17,,,15N,15,15.000109,0.368,14.01,N
18,8,Oxygen,16O,16,15.994915,99.757,16,O
19,,,17O,17,16.999132,0.038,16,O
20,,,18O,18,17.99916,0.205,16,O
21,9,Fluorine,19F,19,18.998403,100,19,F
22,10,Neon,20Ne,20,19.99244,90.48,20.18,Ne
23,,,21Ne,21,20.993847,0.27,20.18,Ne
24,,,22Ne,22,21.991386,9.25,20.18,Ne
25,11,Sodium,23Na,23,22.98977,100,22.99,Na
26,12,Magnesium,24Mg,24,23.985042,78.99,24.31,Mg
27,,,25Mg,25,24.985837,10,24.31,Mg
28,,,26Mg,26,25.982593,11.01,24.31,Mg
29,13,Aluminum,27Al,27,26.981538,100,26.98,Al
30,14,Silicon,28Si,28,27.976927,92.2297,28.09,Si
31,,,29Si,29,28.976495,4.6832,28.09,Si
32,,,30Si,30,29.97377,3.0872,28.09,Si
33,15,Phosphorus,31P,31,30.973762,100,30.97,P
34,16,Sulphur,32S,32,31.972071,94.93,32.07,S
35,,,33S,33,32.971458,0.76,32.07,S
36,,,34S,34,33.967867,4.29,32.07,S
37,,,36S,36,35.967081,0.02,32.07,S
38,17,Chlorine,35Cl,35,34.968853,75.78,35.45,Cl
39,,,37Cl,37,36.965903,24.22,35.45,Cl
40,18,Argon,36Ar,36,35.967546,0.3365,39.95,Ar
41,,,38Ar,38,37.962732,0.0632,39.95,Ar
42,,,40Ar,40,39.962383,99.6003,39.95,Ar
43,19,Potassium,39K,39,38.963707,93.2581,39.1,K
44,,,40K,40,39.963999,0.0117,39.1,K
45,,,41K,41,40.961826,6.7302,39.1,K
46,20,Calcium,40Ca,40,39.962591,96.941,40.08,Ca
47,,,42Ca,42,41.958618,0.647,40.08,Ca
48,,,43Ca,43,42.958767,0.135,40.08,Ca
49,,,44Ca,44,43.955481,2.086,40.08,Ca
50,,,46Ca,46,45.953693,0.004,40.08,Ca
51,,,48Ca,48,47.952534,0.187,40.08,Ca
52,21,Scandium,45Sc,45,44.95591,100,44.96,Sc
53,22,Titanium,46Ti,46,45.952629,8.25,47.87,Ti
54,,,47Ti,47,46.951764,7.44,47.87,Ti
55,,,48Ti,48,47.947947,73.72,47.87,Ti
56,,,49Ti,49,48.947871,5.41,47.87,Ti
57,,,50Ti,50,49.944792,5.18,47.87,Ti
58,23,Vanadium,50V,50,49.947163,0.25,50.94,V
59,,,51V,51,50.943964,99.75,50.94,V
60,24,Chromium,50Cr,50,49.94605,4.345,52,Cr
61,,,52Cr,52,51.940512,83.789,52,Cr
62,,,53Cr,53,52.940654,9.501,52,Cr
63,,,54Cr,54,53.938885,2.365,52,Cr
64,25,Manganese,55Mn,55,54.93805,100,54.94,Mn
65,26,Iron,54Fe,54,53.939615,5.845,55.85,Fe
66,,,56Fe,56,55.934942,91.754,55.85,Fe
67,,,57Fe,57,56.935399,2.119,55.85,Fe
68,,,58Fe,58,57.93328,0.282,55.85,Fe
69,27,Cobalt,59Co,59,58.9332,100,58.93,Co
70,28,Nickel,58Ni,58,57.935348,68.0769,58.69,Ni
71,,,60Ni,60,59.930791,26.2231,58.69,Ni
72,,,61Ni,61,60.93106,1.1399,58.69,Ni
73,,,62Ni,62,61.928349,3.6345,58.69,Ni
74,,,64Ni,64,63.92797,0.9256,58.69,Ni
75,29,Copper,63Cu,63,62.929601,69.17,63.55,Cu
76,,,65Cu,65,64.927794,30.83,63.55,Cu
77,30,Zinc,64Zn,64,63.929147,48.63,65.39,Zn
78,,,66Zn,66,65.926037,27.9,65.39,Zn
79,,,67Zn,67,66.927131,4.1,65.39,Zn
80,,,68Zn,68,67.924848,18.75,65.39,Zn
81,,,70Zn,70,69.925325,0.62,65.39,Zn
82,31,Gallium,69Ga,69,68.925581,60.108,69.72,Ga
83,,,71Ga,71,70.924705,39.892,69.72,Ga
84,32,Germanium,70Ge,70,69.92425,20.84,72.61,Ge
85,,,72Ge,72,71.922076,27.54,72.61,Ge
86,,,73Ge,73,72.923459,7.73,72.61,Ge
87,,,74Ge,74,73.921178,36.28,72.61,Ge
88,,,76Ge,76,75.921403,7.61,72.61,Ge
89,33,Arsenic,75As,75,74.921596,100,74.92,As
90,34,Selenium,74Se,74,73.922477,0.89,78.96,Se
91,,,76Se,76,75.919214,9.37,78.96,Se
92,,,77Se,77,76.919915,7.63,78.96,Se
93,,,78Se,78,77.91731,23.77,78.96,Se
94,,,80Se,80,79.916522,49.61,78.96,Se
95,,,82Se,82,81.9167,8.73,78.96,Se
96,35,Bromine,79Br,79,78.918338,50.69,79.9,Br
97,,,81Br,81,80.916291,49.31,79.9,Br
98,36,Krypton,78Kr,78,77.920386,0.35,83.8,Kr
99,,,80Kr,80,79.916378,2.28,83.8,Kr
100,,,82Kr,82,81.913485,11.58,83.8,Kr
101,,,83Kr,83,82.914136,11.49,83.8,Kr
102,,,84Kr,84,83.911507,57,83.8,Kr
103,,,86Kr,86,85.91061,17.3,83.8,Kr
104,37,Rubidium,85Rb,85,84.911789,72.17,85.47,Rb
105,,,87Rb,87,86.909183,27.83,85.47,Rb
106,38,Strontium,84Sr,84,83.913425,0.56,87.62,Sr
107,,,86Sr,86,85.909262,9.86,87.62,Sr
108,,,87Sr,87,86.908879,7,87.62,Sr
109,,,88Sr,88,87.905614,82.58,87.62,Sr
110,39,Yttrium,89Y,89,88.905848,100,88.91,Y
111,40,Zirconium,90Zr,90,89.904704,51.45,91.22,Zr
112,,,91Zr,91,90.905645,11.22,91.22,Zr
113,,,92Zr,92,91.90504,17.15,91.22,Zr
114,,,94Zr,94,93.906316,17.38,91.22,Zr
115,,,96Zr,96,95.908276,2.8,91.22,Zr
116,41,Niobium,93Nb,93,92.906378,100,92.91,Nb
117,42,Molybdenum,92Mo,92,91.90681,14.84,95.94,Mo
118,,,94Mo,94,93.905088,9.25,95.94,Mo
119,,,95Mo,95,94.905841,15.92,95.94,Mo
120,,,96Mo,96,95.904679,16.68,95.94,Mo
121,,,97Mo,97,96.906021,9.55,95.94,Mo
122,,,98Mo,98,97.905408,24.13,95.94,Mo
123,,,100Mo,100,99.907477,9.63,95.94,Mo
124,44,Ruthenium,96Ru,96,95.907598,5.54,101.1,Ru
125,,,98Ru,98,97.905287,1.87,101.1,Ru
126,,,99Ru,99,98.905939,12.76,101.1,Ru
127,,,100Ru,100,99.90422,12.6,101.1,Ru
128,,,101Ru,101,100.905582,17.06,101.1,Ru
129,,,102Ru,102,101.90435,31.55,101.1,Ru
